Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
47,47,24-May,,STL,"L,1-6",30,29,1,4,2,0,0,1,0,0,6,0,0,1,0,1,0,0,0.258,0.339,0.424,0.763,2,15,R,M.Leake(75)
48,48,25-May,,STL,"W,7-3",35,33,7,11,3,0,1,6,2,0,10,0,0,0,0,1,1,0,0.259,0.34,0.426,0.766,4,11,R,M.Wacha(27)
49,49,26-May,,CHC,"W,4-0",31,27,4,5,1,0,2,4,3,0,12,1,0,0,0,2,1,0,0.258,0.339,0.426,0.765,3,13,R,J.Arrieta(54)
50,50,27-May,,CHC,"W,5-0",37,31,5,6,1,0,1,5,6,0,11,0,0,0,1,0,1,0,0.257,0.339,0.424,0.763,8,11,R,J.Lackey(36)
51,51,28-May,,CHC,"W,9-4",39,34,9,11,0,0,4,9,5,0,10,0,0,0,0,1,1,0,0.258,0.34,0.429,0.769,6,16,L,J.Lester(23)
52,52,29-May,@,STL,"W,5-1",36,32,5,9,1,0,3,5,2,0,8,0,1,1,0,2,0,0,0.258,0.34,0.432,0.772,4,15,R,M.Leake(54)
53,53,30-May,@,STL,"W,9-4",47,36,9,11,2,1,0,8,8,0,11,1,0,2,0,0,1,0,0.259,0.342,0.432,0.774,11,18,R,M.Wacha(36)
54,54,31-May,@,STL,"L,1-2",34,30,1,5,1,0,0,1,3,0,11,0,0,1,0,1,0,0,0.258,0.34,0.428,0.768,6,12,R,C.Martinez(76)
55,55,1-Jun,@,STL,"L,0-2",34,30,0,5,1,0,0,0,4,0,9,0,0,0,0,2,0,0,0.256,0.339,0.424,0.763,7,16,R,A.Wainwright(68)
56,56,2-Jun,@,MIL,"W,2-1",45,42,2,8,2,0,2,2,3,2,16,0,0,0,0,2,1,0,0.255,0.337,0.423,0.76,7,15,R,J.Nelson(83)
57,57,3-Jun,@,MIL,"W,10-8",45,38,10,10,2,0,1,8,7,1,5,0,0,0,1,0,7,0,0.255,0.337,0.423,0.76,8,17,R,M.Garza(48)
58,58,4-Jun,@,MIL,"L,0-3",33,30,0,3,0,0,0,0,3,0,11,0,0,0,1,1,0,0,0.253,0.335,0.418,0.753,6,15,R,Z.Davies(71)
59,59,5-Jun,,WSN,"L,2-4",36,33,2,6,3,0,0,2,3,0,11,0,0,0,0,0,0,0,0.252,0.334,0.415,0.749,7,13,L,G.Gonzalez(59)
60,60,6-Jun,,WSN,"L,1-2",35,33,1,4,1,0,0,1,2,0,17,0,0,0,1,0,1,0,0.249,0.331,0.411,0.742,7,13,R,M.Scherzer(81)
61,61,7-Jun,,WSN,"W,2-1",30,29,2,3,1,0,1,2,1,1,11,0,0,0,2,0,0,1,0.247,0.329,0.409,0.737,4,11,R,S.Strasburg(67)
62,62,9-Jun,,CIN,"W,7-2",38,32,7,9,1,0,2,6,5,1,6,1,0,0,0,1,0,0,0.248,0.33,0.41,0.74,7,11,L,A.Garrett(42)
63,63,10-Jun,,CIN,"W,5-4",38,34,5,10,5,0,1,5,1,1,4,0,2,1,1,0,0,0,0.249,0.329,0.412,0.741,7,15,R,A.Wojciechowski(40)
64,64,11-Jun,,CIN,"W,9-7",40,34,9,10,1,0,4,9,5,0,6,1,0,0,1,1,0,0,0.249,0.331,0.416,0.747,7,17,R,T.Adleman(49)
65,65,13-Jun,@,CLE,"W,7-5",44,38,7,12,1,0,3,6,6,0,10,0,0,0,0,0,2,0,0.25,0.332,0.419,0.751,10,10,R,T.Bauer(51)
66,66,14-Jun,@,CLE,"W,6-4",40,35,6,9,2,0,1,5,4,0,11,1,0,0,0,0,3,1,0.251,0.332,0.419,0.751,7,10,R,C.Kluber(70)
67,67,15-Jun,@,CLE,"L,5-12",40,35,5,9,3,0,2,5,4,0,11,1,0,0,0,0,0,0,0.251,0.333,0.42,0.753,8,11,R,J.Tomlin(42)
68,68,16-Jun,@,CIN,"W,3-1",40,32,3,7,2,0,1,3,7,0,7,1,0,0,0,0,0,1,0.25,0.333,0.42,0.753,10,11,R,T.Adleman(54)
69,69,17-Jun,@,CIN,"W,10-2",45,39,10,12,3,0,4,10,5,0,9,0,0,1,2,1,0,0,0.251,0.334,0.424,0.758,8,14,R,A.Wojciechowski(29)
70,70,18-Jun,@,CIN,"W,8-7",42,37,8,10,4,0,2,8,5,0,8,0,0,0,0,0,0,0,0.251,0.334,0.426,0.76,7,16,R,B.Arroyo(28)
71,71,19-Jun,,NYM,"W,10-6",44,41,10,17,1,0,4,10,3,0,12,0,0,0,0,0,1,0,0.254,0.336,0.431,0.768,10,12,R,Z.Wheeler(14)
72,72,20-Jun,,NYM,"W,12-0",46,38,12,13,3,0,5,12,7,1,7,1,0,0,1,0,0,0,0.256,0.338,0.437,0.776,10,13,R,R.Gsellman(14)
73,73,21-Jun,,NYM,"W,8-2",37,31,8,7,2,0,3,8,5,2,9,0,0,1,1,0,1,0,0.255,0.338,0.439,0.777,5,15,R,T.Pill(43)
74,74,22-Jun,,NYM,"W,6-3",38,29,6,6,1,0,3,6,9,1,10,0,0,0,1,1,3,1,0.255,0.339,0.44,0.779,8,16,L,S.Matz(57)
75,75,23-Jun,,COL,"W,6-1",39,32,6,11,2,1,1,6,5,0,5,0,0,2,0,1,0,0,0.256,0.34,0.442,0.782,9,15,L,K.Freeland(32)
76,76,24-Jun,,COL,"W,4-0",39,29,4,6,2,0,1,3,10,0,8,0,0,0,0,1,0,0,0.255,0.341,0.441,0.782,11,14,R,T.Chatwood(33)
77,77,25-Jun,,COL,"W,12-6",43,36,12,13,5,0,3,7,7,0,10,0,0,0,0,0,2,0,0.257,0.343,0.446,0.788,7,17,L,T.Anderson(30)
78,78,26-Jun,,LAA,"L,0-4",34,31,0,5,3,0,0,0,3,0,8,0,0,0,0,1,0,0,0.256,0.341,0.443,0.785,7,12,R,R.Nolasco(66)
79,79,27-Jun,,LAA,"W,4-0",31,27,4,4,2,0,1,4,4,0,7,0,0,0,0,0,0,1,0.255,0.341,0.442,0.783,3,11,R,J.Chavez(57)
80,80,28-Jun,@,LAA,"L,2-3",35,30,2,4,0,0,2,2,5,0,6,0,0,0,0,1,0,0,0.253,0.34,0.441,0.781,6,9,R,A.Meyer(69)
81,81,29-Jun,@,LAA,"W,6-2",38,36,6,9,2,0,3,6,1,0,6,0,0,1,1,0,0,0,0.253,0.339,0.443,0.781,5,10,R,J.Ramirez(35)
82,82,30-Jun,@,SDP,"W,10-4",48,40,10,16,0,0,3,10,7,0,8,1,0,0,0,2,0,1,0.255,0.341,0.445,0.786,11,14,L,C.Richard(16)
83,83,1-Jul,@,SDP,"W,8-0",45,40,8,14,2,0,3,8,4,1,11,1,0,0,1,1,0,0,0.257,0.342,0.448,0.79,10,12,L,D.Overton(31)
84,84,2-Jul,@,SDP,"L,3-5",42,35,3,9,2,0,1,3,4,0,10,2,1,0,0,0,0,0,0.257,0.343,0.447,0.79,12,16,R,J.Chacin(62)
85,85,4-Jul,,ARI,"W,4-3",36,33,4,9,3,0,1,4,3,0,9,0,0,0,0,0,1,0,0.257,0.342,0.447,0.79,8,14,L,P.Corbin(44)
86,86,5-Jul,,ARI,"W,1-0",31,27,1,4,3,0,0,1,3,1,10,1,0,0,0,1,0,0,0.256,0.342,0.445,0.787,6,13,R,Z.Godley(64)
87,87,6-Jul,,ARI,"W,5-4",40,30,5,8,2,0,1,5,10,2,16,0,0,0,0,0,0,1,0.256,0.343,0.445,0.788,11,17,L,R.Ray(67)
88,88,7-Jul,,KCR,"W,4-1",37,33,4,10,2,0,1,4,4,0,11,0,0,0,0,1,0,0,0.256,0.343,0.445,0.789,9,14,R,J.Hammel(48)
